Frame,near_ratio,middle_ratio,far_ratio,obstacle_near_density,obstacle_middle_density,obstacle_far_density,visibility_near_ratio,visibility_middle_ratio,visibility_far_ratio,clutter_near_degree,clutter_middle_degree,clutter_far_degree
1300.0,0.10079840319361277,0.3992015968063872,0.5,0.0,0.0,0.0,0.009900990099009901,0.0075,0.009980039920159682,0.4158415841584158,0.5025,0.2794411177644711
1302.0,0.1002004008016032,0.39979959919839675,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.4586466165413534,0.2785571142284569
1305.0,0.09939759036144577,0.4006024096385542,0.4999999999999999,0.0,0.0,0.0,0.0,0.0,0.006024096385542169,0.41414141414141414,0.4636591478696741,0.2771084337349398
1307.0,0.0999000999000999,0.4005994005994006,0.4995004995004995,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.46882793017456365,0.278
1310.0,0.09939759036144577,0.4006024096385542,0.4999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.42424242424242425,0.39348370927318294,0.2771084337349398
1312.0,0.09919839679358716,0.4008016032064128,0.5,0.0,0.0,0.002004008016032064,0.0,0.0,0.0,0.42424242424242425,0.41000000000000003,0.26452905811623245
1315.0,0.1002004008016032,0.3997995991983968,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.3208020050125313,0.27054108216432865
1317.0,0.10120240480961923,0.3987975951903807,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.43564356435643564,0.442211055276382,0.2565130260521042
1320.0,0.09949748743718592,0.4,0.5005025125628141,0.0,0.0,0.0,0.04040404040404041,0.01507537688442211,0.016064257028112445,0.46464646464646464,0.4698492462311558,0.24497991967871494
1322.0,0.10010010010010012,0.40240240240240244,0.49749749749749755,0.0,0.0,0.0,0.0,0.009950248756218907,0.002012072434607646,0.44,0.43283582089552247,0.2414486921529175
1325.0,0.1002004008016032,0.4008016032064128,0.49899799599198397,0.0,0.0,0.0,0.13,0.06,0.07429718875502007,0.51,0.49750000000000005,0.2991967871485943
1327.0,0.1004016064257028,0.4006024096385542,0.4989959839357429,0.0,0.0,0.0,0.06,0.025062656641604005,0.022132796780684107,0.44999999999999996,0.4987468671679198,0.2635814889336016
1330.0,0.1002004008016032,0.3977955911823647,0.5020040080160321,0.0,0.0,0.0,0.21,0.1712846347607053,0.10179640718562875,0.56,0.6120906801007556,0.33532934131736525
1332.0,0.10030090270812436,0.4002006018054162,0.4994984954864594,0.0,0.0,0.0,0.17,0.10526315789473684,0.05823293172690763,0.53,0.5513784461152882,0.29718875502008035
1335.0,0.101,0.399,0.5,0.0,0.0,0.0,0.2376237623762376,0.1804511278195489,0.098,0.6435643564356436,0.6541353383458647,0.322
