fold,train_n,test_n,r2,mae,rmse,selected_features
1,600,150,0.39242365874839047,73.39713625600324,99.46471612215322,near_ratio|middle_ratio|far_ratio|obstacle_near_density|obstacle_middle_density|obstacle_far_density|visibility_near_ratio|visibility_middle_ratio|visibility_far_ratio|clutter_near_degree|clutter_middle_degree|clutter_far_degree
2,600,150,0.41126360370571735,81.92726768739485,108.5098314383377,near_ratio|middle_ratio|far_ratio|obstacle_near_density|obstacle_middle_density|obstacle_far_density|visibility_near_ratio|visibility_middle_ratio|visibility_far_ratio|clutter_near_degree|clutter_middle_degree|clutter_far_degree
3,600,150,0.36182143098951547,86.91083611415506,120.18872242297105,near_ratio|middle_ratio|far_ratio|obstacle_near_density|obstacle_middle_density|obstacle_far_density|visibility_near_ratio|visibility_middle_ratio|visibility_far_ratio|clutter_near_degree|clutter_middle_degree|clutter_far_degree
4,600,150,0.2918578487969955,88.50392063504582,131.13304398905413,near_ratio|middle_ratio|far_ratio|obstacle_near_density|obstacle_middle_density|obstacle_far_density|visibility_near_ratio|visibility_middle_ratio|visibility_far_ratio|clutter_near_degree|clutter_middle_degree|clutter_far_degree
5,600,150,0.26870438725749246,88.05242593521139,118.4803541907561,near_ratio|middle_ratio|far_ratio|obstacle_near_density|obstacle_middle_density|obstacle_far_density|visibility_near_ratio|visibility_middle_ratio|visibility_far_ratio|clutter_near_degree|clutter_middle_degree|clutter_far_degree
