feature,mean_abs_shap,rank
ceiling.far,41.12818631389164,1
light.middle,23.55615041635913,2
wall.near,17.13294395387918,3
light.near,16.447534036962473,4
person.far,13.361979054434759,5
person.middle,11.301200943552953,6
wall.middle,11.285036884395376,7
person.near,10.880136506726439,8
light.far,9.923942873751448,9
floor.middle,9.863868524623358,10
wall.far,9.121573250632176,11
painting.middle,7.018227377168428,12
