x,y,velocity,point_count,deviation
144097.4807,-924422.9381,1073.129954,10,268.0177751
144152.3358,-923747.6421,956.5572346,7,391.5285557
144198.385,-924440.918,1077.119378,6,300.8554718
144255.9948,-924072.9594,977.6067795,9,54.38527148
144333.98,-923695.2901,910.0173153,17,416.1848416
144394.4043,-923458.5688,865.9364635,36,641.2354808
144439.43,-923964.6164,942.2525451,18,134.1386553
144506.1511,-923789.9344,886.4238649,23,296.9044037
144553.9355,-924234.833,1074.12295,21,150.1440867
144607.9572,-923313.7437,867.1312422,41,752.5665
144646.5317,-921698.4289,657.2542998,37,2344.031573
144710.1048,-924046.1749,912.648356,13,13.10547572
144772.1341,-923137.7653,863.7839103,10,902.0703635
144822.8792,-923937.4174,972.7198946,11,103.8012377
144892.7655,-923412.74,984.4683836,10,612.1712821
144948.6161,-923426.4464,979.6132797,10,590.2833818
145007.1798,-922899.4824,875.4096063,10,1102.604098
145071.2947,-923730.3073,988.8666511,11,271.5167405
145124.5664,-923137.3219,969.7464943,25,849.9084835
145173.0948,-923354.2519,989.4758807,11,628.1655284
145229.921,-923993.1637,1046.853507,9,12.0792075
145289.1831,-923798.7349,1060.862757,9,171.3346768
145347.5198,-924218.7799,1053.834184,12,252.7142172
145395.8731,-923943.284,1042.115505,6,12.48138549
145465.236,-925031.2022,1073.002801,13,1073.604257
145517.2018,-924582.9778,1031.327575,8,638.1560488
145577.4365,-924553.0744,1043.116343,8,617.5775924
145622.1413,-924178.9223,1106.996897,6,254.2885869
145680.4189,-924155.8441,1113.88075,9,240.166665
145744.6176,-924061.3937,1118.662617,14,156.3577372
145800.432,-924158.7936,1136.003604,16,260.9945873
145852.3624,-924442.2012,987.0202603,13,548.9789813
145908.1875,-924394.0361,984.8193804,14,509.685192
145961.0919,-924609.3038,961.8133499,7,730.4374326
146016.6289,-923893.5182,1143.002687,6,30.96998106
146060.3105,-922962.1821,1163.730652,11,883.4283097
146116.0188,-924136.8862,1036.619995,9,286.4349151
146173.1155,-924391.9291,990.9884557,7,547.1416082
146223.0235,-923928.0527,984.7185261,11,95.90921928
146276.4042,-924473.3691,980.1489242,25,643.0852127
146328.4864,-924587.5543,979.4673093,11,763.7644022
146387.9513,-923927.9992,918.5122228,12,120.4749757
146448.975,-924169.2487,905.2678815,11,368.1272268
146503.5627,-923844.0458,999.1622248,8,54.71343236
146568.3173,-924554.0608,826.2921658,29,766.4405815
146598.9043,-924771.2973,912.9306932,15,985.8090611
146655.4907,-922672.2954,1233.18698,15,1081.238368
146708.2422,-923157.4687,969.938163,9,593.6261325
146762.536,-923271.9027,993.183582,10,472.3704598
146826.9687,-922357.2152,1194.293918,15,1367.196324
146879.3597,-922939.8976,903.0809295,11,783.2208613
146956.081,-923561.357,951.2435715,8,157.2720678
147027.5674,-923485.965,932.9239801,7,221.1503461
147083.5294,-923686.9442,923.8896339,8,14.09153491
147129.3597,-923856.0553,930.4284845,32,159.9901879
147178.9786,-923648.0671,930.9537162,10,38.27739619
147230.5219,-923760.9215,936.889986,10,81.02310154
