Frame,near_ratio,middle_ratio,far_ratio,obstacle_near_density,obstacle_middle_density,obstacle_far_density,visibility_near_ratio,visibility_middle_ratio,visibility_far_ratio,clutter_near_degree,clutter_middle_degree,clutter_far_degree
3100.0,0.09960159362549802,0.39940239043824705,0.500996015936255,0.0,0.0,0.001988071570576541,0.0,0.0,0.0,0.45,0.4937655860349127,0.11729622266401592
3104.0,0.1011011011011011,0.3983983983983984,0.5005005005005005,0.0,0.002512562814070352,0.0,0.0,0.0,0.0,0.5148514851485149,0.628140703517588,0.11000000000000001
3108.0,0.1002004008016032,0.39879759519038077,0.501002004008016,0.01,0.0,0.0,0.0,0.0,0.0,0.38,0.6206030150753769,0.10400000000000001
3112.0,0.09909909909909911,0.39939939939939945,0.5015015015015015,0.0,0.0,0.0,0.0,0.0,0.0,0.31313131313131315,0.581453634085213,0.0998003992015968
3116.0,0.0989010989010989,0.4005994005994006,0.5004995004995005,0.0,0.0,0.0,0.0,0.0,0.0,0.3434343434343435,0.6309226932668329,0.09780439121756487
3120.0,0.10030090270812436,0.399197592778335,0.5005015045135406,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.7236180904522613,0.09018036072144288
3124.0,0.10010010010010012,0.3983983983983984,0.5015015015015015,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,0.6909547738693467,0.07385229540918165
3128.0,0.099,0.4,0.501,0.0,0.0,0.0,0.0,0.0,0.0,0.27272727272727276,0.6275,0.06786427145708583
3132.0,0.101,0.4,0.499,0.0,0.0,0.0,0.0,0.0,0.0,0.21782178217821782,0.6799999999999999,0.062124248496993995
3136.0,0.0999000999000999,0.3996003996003996,0.5004995004995005,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6425000000000001,0.06786427145708583
3140.0,0.10010010010010012,0.40140140140140146,0.49849849849849853,0.0,0.0,0.0,0.0,0.0,0.0,0.16999999999999998,0.6084788029925188,0.056224899598393586
3144.0,0.1,0.399,0.5010000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.43107769423558895,0.05588822355289421
3148.0,0.0999000999000999,0.3996003996003996,0.5004995004995005,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.5575,0.06387225548902196
3152.0,0.10010010010010009,0.40040040040040037,0.4994994994994995,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.49750000000000005,0.07414829659318636
3156.0,0.10010010010010009,0.3993993993993994,0.5005005005005005,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.6015037593984962,0.076
3160.0,0.10030090270812436,0.4002006018054162,0.4994984954864594,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.6215538847117794,0.07228915662650602
3164.0,0.10120240480961923,0.3997995991983968,0.4989979959919839,0.0,0.0,0.0,0.0,0.0,0.0,0.21782178217821782,0.681704260651629,0.0602409638554217
3168.0,0.101,0.39999999999999997,0.499,0.0,0.0,0.0,0.0,0.0,0.0,0.24752475247524752,0.635,0.06813627254509018
3172.0,0.10010010010010009,0.40040040040040037,0.4994994994994995,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.6174999999999999,0.09018036072144288
3176.0,0.10010010010010012,0.4004004004004005,0.4994994994994995,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.52,0.13627254509018039
3180.0,0.09990009990009989,0.39960039960039956,0.5004995004995005,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.3475,0.10778443113772454
3184.0,0.10069790628115652,0.398803589232303,0.5004985044865403,0.0,0.0,0.0,0.0,0.0,0.0,0.1782178217821782,0.39,0.1155378486055777
3188.0,0.1,0.399,0.501,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.556390977443609,0.1297405189620759
3192.0,0.1004016064257028,0.40060240963855415,0.498995983935743,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.5513784461152882,0.1388329979879276
3196.0,0.0999000999000999,0.3996003996003996,0.5004995004995005,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.5275,0.12774451097804393
3200.0,0.1008991008991009,0.3996003996003996,0.4995004995004995,0.0,0.0,0.0,0.0,0.0,0.0,0.43564356435643564,0.49,0.11800000000000002
3204.0,0.0990990990990991,0.40040040040040037,0.5005005005005005,0.0,0.0,0.0,0.0,0.0,0.0,0.4646464646464647,0.38,0.086
3208.0,0.10030090270812436,0.399197592778335,0.5005015045135406,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.37185929648241206,0.07615230460921843
3212.0,0.1002004008016032,0.4008016032064128,0.4989979959919839,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.45999999999999996,0.05823293172690764
3216.0,0.1008991008991009,0.4005994005994006,0.49850149850149855,0.0,0.0,0.0,0.0,0.0,0.0,0.37623762376237624,0.5311720698254364,0.03607214428857715
3220.0,0.101,0.4,0.49899999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.5841584158415841,0.66,0.012024048096192386
3224.0,0.10030090270812439,0.3981945837512538,0.501504513540622,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.491183879093199,0.008
3228.0,0.1002004008016032,0.4008016032064128,0.49899799599198397,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.5325,0.018072289156626505
3232.0,0.101,0.39899999999999997,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.6633663366336634,0.23558897243107768,0.01
3236.0,0.10010010010010009,0.40040040040040037,0.4994994994994995,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.5525,0.014028056112224449
3240.0,0.10079840319361277,0.40119760479041916,0.4980039920159681,0.0,0.0,0.0,0.0,0.0,0.0,0.693069306930693,0.6393034825870647,0.014028056112224449
3244.0,0.0998003992015968,0.40119760479041916,0.49900199600798406,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.6741293532338309,0.018
3248.0,0.10010010010010012,0.4004004004004005,0.4994994994994995,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.7425,0.020040080160320644
3252.0,0.0998003992015968,0.40119760479041916,0.49900199600798406,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.6990049751243782,0.02
3256.0,0.09970089730807578,0.4007976071784646,0.4995014955134596,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.6865671641791045,0.023952095808383235
3261.0,0.09919839679358716,0.4008016032064128,0.4999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.36363636363636365,0.38999999999999996,0.028056112224448905
3265.0,0.10010010010010009,0.40140140140140135,0.49849849849849853,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.4912718204488779,0.03614457831325301
3269.0,0.09919839679358716,0.3997995991983968,0.501002004008016,0.0,0.0,0.0,0.0,0.0,0.0,0.11111111111111112,0.3383458646616541,0.014000000000000002
3273.0,0.10010010010010012,0.40140140140140146,0.49849849849849853,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.4413965087281796,0.01204819277108434
3277.0,0.09929789368104314,0.40120361083249745,0.4994984954864594,0.0,0.0,0.0,0.0,0.0,0.0,0.1313131313131313,0.465,0.01606425702811245
3281.0,0.09929789368104315,0.40120361083249756,0.4994984954864594,0.0101010101010101,0.005,0.012048192771084338,0.0,0.0,0.0,0.1313131313131313,0.4625000000000001,0.0321285140562249
3285.0,0.10120240480961923,0.3987975951903807,0.5,0.0297029702970297,0.015075376884422113,0.026052104208416832,0.0,0.0,0.0,0.1782178217821782,0.5703517587939698,0.0501002004008016
3289.0,0.1002004008016032,0.4008016032064128,0.49899799599198397,0.04,0.005,0.018072289156626505,0.0,0.0,0.0,0.19,0.57,0.040160642570281124
3293.0,0.10010010010010009,0.40040040040040037,0.4994994994994995,0.02,0.0,0.03206412825651302,0.0,0.0,0.0,0.16,0.245,0.056112224448897796
3297.0,0.10030090270812436,0.4002006018054162,0.4994984954864594,0.01,0.002506265664160401,0.06224899598393575,0.0,0.0,0.0,0.14,0.3533834586466165,0.08634538152610442
3301.0,0.09819639278557113,0.3997995991983968,0.5020040080160321,0.05102040816326531,0.017543859649122803,0.08183632734530938,0.0,0.0,0.0,0.17346938775510204,0.39097744360902253,0.10778443113772454
3305.0,0.10079840319361277,0.3992015968063872,0.5000000000000001,0.10891089108910891,0.03,0.06986027944111775,0.0,0.0,0.0,0.19801980198019803,0.38249999999999995,0.11576846307385227
3309.0,0.09939759036144577,0.3995983935742972,0.501004016064257,0.09090909090909091,0.02010050251256281,0.06613226452905811,0.0,0.0,0.0,0.21212121212121213,0.3994974874371859,0.1062124248496994
3313.0,0.0999000999000999,0.4005994005994006,0.4995004995004995,0.06,0.0199501246882793,0.062,0.0,0.0,0.0,0.21,0.32169576059850374,0.098
3317.0,0.10050251256281408,0.3989949748743719,0.5005025125628141,0.060000000000000005,0.010075566750629723,0.052208835341365466,0.0,0.0,0.0,0.16000000000000003,0.22166246851385393,0.09236947791164658
3321.0,0.1002004008016032,0.3977955911823648,0.5020040080160321,0.02,0.012594458438287152,0.029940119760479042,0.0,0.0,0.0,0.10999999999999999,0.12342569269521411,0.06586826347305388
3325.0,0.1002004008016032,0.3987975951903807,0.501002004008016,0.0,0.002512562814070352,0.004,0.0,0.0,0.0,0.09000000000000001,0.1306532663316583,0.04
3329.0,0.10010010010010009,0.40140140140140135,0.49849849849849853,0.020000000000000004,0.004987531172069826,0.022088353413654616,0.0,0.0,0.0,0.09000000000000001,0.14463840399002495,0.06626506024096385
3333.0,0.09919839679358718,0.3997995991983968,0.501002004008016,0.050505050505050504,0.010025062656641603,0.038,0.0,0.0,0.0,0.12121212121212122,0.12781954887218047,0.088
3337.0,0.099,0.4,0.501,0.010101010101010102,0.005,0.013972055888223554,0.0,0.0,0.0,0.10101010101010101,0.1325,0.059880239520958084
3341.0,0.10010010010010009,0.39739739739739743,0.5025025025025025,0.01,0.0050377833753148605,0.009960159362549802,0.0,0.0,0.0,0.08,0.14357682619647355,0.07370517928286853
3345.0,0.1,0.398,0.502,0.01,0.005025125628140704,0.0,0.0,0.0,0.0,0.09999999999999999,0.22864321608040203,0.06175298804780877
3349.0,0.09929789368104314,0.399197592778335,0.5015045135406219,0.0,0.0,0.0,0.0,0.0,0.0,0.15151515151515152,0.3944723618090452,0.057999999999999996
3353.0,0.09929789368104314,0.40120361083249756,0.4994984954864594,0.0,0.0025,0.0,0.0,0.0,0.0,0.19191919191919193,0.5000000000000001,0.06827309236947793
3357.0,0.10030090270812439,0.4002006018054163,0.4994984954864594,0.02,0.0025062656641604013,0.008032128514056226,0.0,0.0,0.0,0.30000000000000004,0.6516290726817042,0.08634538152610442
3361.0,0.099,0.4,0.5010000000000001,0.0,0.0025,0.001996007984031936,0.0,0.0,0.0,0.25252525252525254,0.5599999999999999,0.059880239520958084
3365.0,0.09919839679358716,0.3997995991983968,0.501002004008016,0.0,0.0,0.004,0.0,0.0,0.0,0.26262626262626265,0.5263157894736842,0.066
3369.0,0.09929789368104314,0.40020060180541633,0.5005015045135406,0.0,0.0,0.0020040080160320644,0.0,0.0,0.0,0.27272727272727276,0.5263157894736842,0.062124248496993995
3373.0,0.101,0.40099999999999997,0.49800000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.26732673267326734,0.5635910224438903,0.05220883534136546
3377.0,0.0989010989010989,0.40159840159840154,0.4995004995004995,0.0,0.0,0.0,0.0,0.0,0.0,0.30303030303030304,0.5646766169154229,0.05
3381.0,0.09919839679358718,0.3997995991983968,0.501002004008016,0.0,0.0,0.0,0.0,0.0,0.0,0.1717171717171717,0.41854636591478694,0.030000000000000006
3385.0,0.0999000999000999,0.40159840159840154,0.49850149850149855,0.01,0.0024875621890547268,0.0,0.0,0.0,0.0,0.18000000000000002,0.40796019900497515,0.028056112224448898
3389.0,0.10079840319361277,0.40019960079840317,0.4990019960079841,0.0,0.0,0.0,0.0,0.0,0.0,0.3069306930693069,0.399002493765586,0.031999999999999994
3393.0,0.09909909909909911,0.3993993993993994,0.5015015015015015,0.010101010101010102,0.0025062656641604013,0.0,0.0,0.0,0.0,0.292929292929293,0.280701754385965,0.029940119760479042
3397.0,0.1,0.4,0.5,0.02,0.005,0.0,0.0,0.0,0.0,0.24,0.2825,0.03
3401.0,0.09929789368104314,0.40020060180541633,0.5005015045135406,0.010101010101010102,0.0,0.0,0.0,0.0,0.0,0.21212121212121213,0.3433583959899749,0.054108216432865744
3405.0,0.09949748743718594,0.4010050251256282,0.4994974874371859,0.0,0.0,0.0,0.0,0.0,0.0,0.24242424242424243,0.45363408521303256,0.04627766599597586
3409.0,0.10010010010010009,0.3993993993993994,0.5005005005005005,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.4160401002506266,0.014000000000000002
3413.0,0.09919839679358718,0.3997995991983968,0.501002004008016,0.0,0.0,0.0,0.0,0.0,0.0,0.1616161616161616,0.3333333333333333,0.019999999999999997
3417.0,0.1002004008016032,0.3997995991983968,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.3483709273182957,0.04008016032064128
3422.0,0.09919839679358718,0.3997995991983968,0.501002004008016,0.0,0.0,0.0,0.0,0.0,0.0,0.1414141414141414,0.3659147869674185,0.05600000000000001
3426.0,0.10010010010010009,0.40040040040040037,0.4994994994994995,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.45999999999999996,0.058116232464929855
3430.0,0.1002004008016032,0.3987975951903807,0.5010020040080159,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.4698492462311558,0.06400000000000002
