x,y,velocity,point_count,deviation
108132.4804,-878471.2945,1152.978796,17,130.9278508
108381.4259,-878426.0025,1173.666423,17,112.7054062
108410.543,-878364.6006,1183.343829,13,135.9631574
108586.7263,-878309.9564,1179.917797,13,306.2765955
108426.7878,-878255.0256,1180.423057,13,141.9112394
108294.4527,-878199.3437,1191.946626,14,4.956334055
108732.3385,-878149.022,1177.215202,9,436.2313682
108413.7482,-878098.409,1191.372634,18,114.3070944
108545.4873,-878036.1991,1176.908262,15,239.6641112
108554.2426,-877982.3919,1182.795391,12,243.3590492
108488.7808,-877935.938,1175.166989,13,173.8474803
108585.6615,-877878.9323,1189.489721,15,264.9837267
107932.221,-877819.6087,1128.100135,12,391.1417247
108940.8285,-877781.0604,1195.529872,11,609.4650633
108412.2441,-877732.2782,1225.18818,12,78.63448235
108407.0026,-877670.5965,1224.799877,17,67.66493424
108788.6463,-877615.6913,1199.229468,14,442.5114386
108525.7903,-877556.8222,1220.925958,15,175.3086147
108532.198,-877507.778,1217.220495,10,177.1114747
108514.8624,-877449.131,1261.725618,15,154.3759078
108400.2873,-877395.6714,1156.967301,12,35.31077637
108449.9056,-877346.1436,1245.939175,13,80.08925854
108075.5358,-877295.1837,1099.757722,20,297.4028254
107853.8077,-877254.9897,1113.838966,25,521.9152169
108374.9422,-877203.4929,1145.274339,14,7.915518117
108355.0464,-877145.6942,1099.050777,18,33.07479436
108322.8908,-877094.9333,1102.830944,13,69.81984704
108394.7943,-877031.8498,1102.531824,16,4.122303881
108720.7891,-876975.8289,1260.9632,13,315.2246421
108710.9685,-876924.6902,1259.062106,10,300.673559
108606.8819,-876871.1245,1196.809783,14,192.0418408
108296.5347,-876804.898,1115.445634,19,123.1338166
108497.1744,-876756.4626,1208.485734,14,72.11184631
108382.5291,-876709.7769,1200.323403,14,46.39740323
108555.6748,-876657.0323,1216.34408,17,121.0743406
108353.0736,-876600.3688,1214.733701,16,85.93299771
108534.2337,-876551.7341,1218.295609,12,89.90179964
108424.0754,-876498.6979,1226.154756,16,24.73902007
108206.3551,-876439.1304,1207.725854,17,247.0596701
108202.7439,-876389.4767,1204.891456,25,255.2903343
108363.1105,-876346.4691,1221.667217,15,99.64091416
108491.611,-876290.0528,1224.804072,16,23.04575154
108294.5634,-876239.3757,1208.882072,13,177.8826351
108427.9787,-876180.0603,1216.485211,19,50.59318195
108718.4773,-876120.4854,1220.919943,17,233.0853418
108403.6848,-876069.3823,1209.975145,17,85.10778399
108379.5229,-876013.9387,1210.66398,20,114.3357264
108691.5934,-875951.5354,1273.878816,15,190.5504212
108342.7112,-875905.835,1208.356957,13,161.0769849
108278.8819,-875851.1732,1204.465678,13,229.7301461
108461.4168,-875801.2327,1206.929157,15,52.66011172
108581.8373,-875744.4329,1261.979123,16,61.94684839
108281.488,-875687.5934,1189.325346,17,242.4042695
108065.2529,-875626.5623,1183.720118,16,463.3915292
108620.1339,-875580.8702,1252.845732,11,84.80454744
108257.2284,-875531.034,1170.432338,17,281.1723261
108146.5187,-875474.6127,1169.259876,18,396.6647056
108532.9986,-875420.2613,1225.064111,19,16.96795974
108316.3934,-875364.6521,1204.591614,15,237.7945199
108438.1307,-875317.0603,1213.438854,17,121.0348751
108224.1251,-875270.3642,1201.576653,15,338.4611729
108584.0037,-875214.429,1222.794355,14,14.64619752
108296.0556,-875160.6729,1199.733528,11,277.083679
108678.2079,-875115.7581,1234.43455,13,99.20864669
108137.6395,-875058.7971,1200.339273,14,444.316713
108522.0465,-875003.3947,1210.827161,15,66.76549929
108650.6992,-874949.0766,1227.093611,13,56.26779881
108105.6816,-874902.6816,1203.329758,14,490.7073035
108200.3438,-874850.8355,1200.003281,18,401.298558
108205.7338,-874795.35,1196.271632,20,401.1107099
108176.0056,-874746.6701,1194.28431,17,435.2525325
108291.6069,-874693.5263,1190.346738,16,325.1162332
108316.6383,-874637.6176,1192.421925,17,305.4126282
108806.1897,-874588.5152,1147.134558,22,177.4192768
109051.8829,-874534.1494,1144.983917,22,416.9642679
108586.5103,-874493.4068,1182.147078,14,50.18624407
108875.58,-874437.9401,1147.853421,13,232.4528601
108624.0133,-874385.4265,1182.809631,14,22.92015208
108720.6464,-874329.5392,1170.826156,14,68.07689612
108227.448,-874267.2629,1195.166669,10,428.7830668
108532.723,-874219.2508,1174.523594,11,129.3240968
108596.9912,-874153.3554,1165.926704,20,71.48598969
108846.0038,-874112.9604,1154.785027,20,172.6698916
109280.6425,-874056.3744,1029.883562,30,600.1294729
108470.9484,-874011.0019,1178.960408,9,210.2653359
108608.3446,-873954.0952,1199.354707,13,78.78092554
108493.5056,-873905.5797,1200.525045,13,197.647747
108778.903,-873843.7,1210.609147,18,80.72996732
108324.9979,-873788.5764,1221.428599,12,376.3399193
108604.1633,-873741.0549,1225.56525,15,102.8304191
108610.6705,-873692.3867,1236.231358,11,100.8941878
108697.8826,-873639.1664,1234.959893,17,19.03276117
108743.4548,-873578.0729,1228.812929,18,20.65364047
108789.491,-873526.3739,1225.755942,13,61.65286367
109054.2264,-873476.2251,1236.792653,11,320.5509794
108927.2959,-873420.3109,1261.19981,12,188.9565985
108694.7336,-873371.0003,1238.994937,14,47.1963034
108991.176,-873309.6356,1238.452331,18,242.2268378
109133.2555,-873255.3769,1217.779817,13,378.6198129
108888.5118,-873205.3306,1231.905431,15,130.2748204
108508.7636,-873158.2647,1220.722338,10,252.2114945
108885.1651,-873104.4026,1222.420443,11,117.521368
108916.3575,-873056.3302,1214.151627,12,144.0895795
108587.1947,-872990.0832,1213.006303,9,189.8206485
109019.8105,-872956.4709,1002.991897,10,237.770745
108799.4263,-872879.7611,1044.259052,14,11.22176944
108691.6064,-872809.2592,1043.301434,11,102.7451009
108951.3142,-872767.7437,910.0177248,9,151.9587045
108554.4345,-872709.6995,1033.681167,12,248.6088023
108673.9967,-872647.2202,896.8509003,10,135.4031815
109025.0956,-872595.3304,890.7961112,14,209.3235646
108600.8096,-872539.6548,931.7899922,11,218.3094456
108587.1406,-872478.7963,890.169804,10,237.5982522
108678.092,-872429.0117,882.0790887,10,151.6913866
108917.0415,-872371.7292,874.0275297,12,80.86914512
108646.8819,-872310.0156,872.6863301,10,193.8714873
108861.6823,-872257.5121,866.2710436,11,15.09583129
108848.0519,-872195.0377,867.8754593,11,4.36385329
108868.034,-872139.1523,876.0045015,13,10.39967508
109331.2303,-872069.7901,828.3011754,37,465.0671597
109193.4386,-872044.5498,851.9677291,18,325.5208552
108829.1827,-871987.8207,879.9209077,11,42.44075092
108863.4161,-871931.403,875.988456,12,13.64505167
108990.7409,-871880.5369,860.3002643,8,108.3986534
108952.1991,-871836.6526,871.4470468,6,65.9288021
108711.2352,-871781.6734,876.8203432,10,179.1151301
108854.6207,-871735.229,868.676985,7,40.69187925
108861.8995,-871690.4994,869.050432,7,37.62979977
108651.6262,-871627.1685,892.8527763,8,252.885738
109022.3981,-871562.4625,839.705109,10,110.2298506
109181.8728,-871514.8748,805.3456506,8,264.5648495
108949.2587,-871449.0055,876.5091647,6,26.82285256
108695.273,-871396.5573,1055.654858,6,230.954745
109406.2268,-871331.3194,763.4722706,13,470.8063999
109454.9409,-871287.8372,746.0299875,9,515.2493603
