fold,train_n,test_n,r2,mae,rmse,selected_features
1,120,30,0.598502233218615,32.49159675380015,44.268710831632156,person.far|floor.middle|light.middle|floor.far|wall.middle|light.near|wall.far|light.far|floor.near|ceiling.middle|person.near|painting.far
2,120,30,0.46562658977068005,42.228402431102914,51.52960370757706,person.far|wall.middle|ceiling.middle|wall.far|floor.far|floor.middle|light.near|light.middle|person.middle|windowpane.middle|person.near|floor.near
3,120,30,0.5079931787307674,48.17276591004635,61.62809743590759,person.far|ceiling.middle|floor.middle|floor.far|wall.far|light.middle|person.near|light.near|person.middle|painting.far|poster.middle|ceiling.near
4,120,30,0.5349223879950883,46.67113934806939,59.705362230262395,person.far|wall.middle|wall.far|ceiling.middle|floor.middle|floor.far|person.middle|light.middle|light.near|poster.middle|painting.middle|windowpane.middle
5,120,30,0.5840508358056525,42.90495881741452,50.902371707078956,person.far|light.middle|floor.middle|floor.far|person.middle|light.near|wall.middle|wall.far|ceiling.middle|wall.near|painting.middle|light.far
