site,station,segment,spatial_location_index,x_mm,y_mm,velocity_mm_s,point_count,deviation_mm
wujiaochang,Wujiaochang,1,69,100116.923,-578513.0561,1287.789959,11,189.2650054
wujiaochang,Wujiaochang,1,70,100008.0501,-578462.6432,1298.156153,11,83.14321278
wujiaochang,Wujiaochang,1,71,100258.8948,-578408.7707,1305.65131,12,336.4376641
wujiaochang,Wujiaochang,1,72,100052.493,-578356.2672,1296.453458,13,133.0241321
wujiaochang,Wujiaochang,1,73,99976.43506,-578300.353,1297.440345,16,59.95748565
wujiaochang,Wujiaochang,1,74,100003.6057,-578245.4951,1291.009915,15,89.92935464
wujiaochang,Wujiaochang,1,75,100002.0444,-578195.2544,1288.893149,13,90.96524703
wujiaochang,Wujiaochang,1,76,100082.2265,-578142.2251,1287.497987,15,173.7803937
wujiaochang,Wujiaochang,1,77,99982.53623,-578088.966,1277.980106,14,76.97889872
wujiaochang,Wujiaochang,1,78,100129.0063,-578036.7455,1267.626217,12,225.9495621
wujiaochang,Wujiaochang,1,79,100109.37,-577980.6669,1270.392332,12,209.2369671
wujiaochang,Wujiaochang,1,80,100102.8231,-577925.3439,1279.198693,10,205.5578274
wujiaochang,Wujiaochang,1,81,100094.2341,-577870.5286,1295.349335,13,199.8153401
wujiaochang,Wujiaochang,1,82,100096.4681,-577818.019,1304.357542,10,204.7588779
wujiaochang,Wujiaochang,1,83,100061.228,-577766.1695,1313.231735,12,172.2476428
wujiaochang,Wujiaochang,1,84,100158.5245,-577712.4538,1326.365741,12,272.18765
wujiaochang,Wujiaochang,1,85,100054.0929,-577653.7049,1337.777816,14,170.9318874
wujiaochang,Wujiaochang,1,86,100098.2954,-577593.3374,1338.620705,13,218.1951452
wujiaochang,Wujiaochang,1,87,100101.5852,-577535.8102,1331.488385,13,224.4553777
wujiaochang,Wujiaochang,1,88,100081.4299,-577478.5026,1321.142654,12,207.2883574
wujiaochang,Wujiaochang,1,89,100201.6282,-577425.0414,1298.364429,13,330.0876549
wujiaochang,Wujiaochang,1,90,100161.0335,-577370.826,1299.152953,14,292.3496013
wujiaochang,Wujiaochang,1,91,100183.8622,-577321.8545,1300.294358,12,317.6783033
wujiaochang,Wujiaochang,1,92,100256.6439,-577271.2403,1298.785001,14,392.9793813
wujiaochang,Wujiaochang,1,93,100173.2769,-577219.6069,1308.79033,11,312.3929003
wujiaochang,Wujiaochang,1,94,100132.3895,-577168.2046,1308.627149,11,274.2154518
wujiaochang,Wujiaochang,1,95,100017.82,-577117.5541,1324.147656,11,162.4191157
wujiaochang,Wujiaochang,1,96,100172.1193,-577065.5089,1326.407302,11,319.2007247
wujiaochang,Wujiaochang,1,97,100014.8461,-577010.4871,1329.035635,11,164.9799895
wujiaochang,Wujiaochang,1,98,100083.4121,-576956.6642,1324.366948,12,236.2360251
wujiaochang,Wujiaochang,1,99,99985.72698,-576901.0199,1325.790559,13,141.5595413
wujiaochang,Wujiaochang,1,100,100138.0116,-576847.6034,1311.016333,13,296.3990982
wujiaochang,Wujiaochang,1,101,100089.7841,-576796.8257,1311.324634,12,250.860756
wujiaochang,Wujiaochang,1,102,100244.6943,-576744.4148,1296.89238,13,408.2721522
wujiaochang,Wujiaochang,1,103,100248.7049,-576690.7827,1296.664656,13,415.0500501
wujiaochang,Wujiaochang,1,104,100187.616,-576632.3052,1310.908956,12,357.0648592
wujiaochang,Wujiaochang,1,105,100167.9222,-576577.269,1321.499488,13,340.2417518
wujiaochang,Wujiaochang,1,106,100186.0154,-576523.9319,1320.399879,12,361.0679416
wujiaochang,Wujiaochang,1,107,100217.6415,-576471.8494,1303.890547,12,395.3426948
wujiaochang,Wujiaochang,1,108,100222.5647,-576419.4203,1300.64621,12,402.9687423
wujiaochang,Wujiaochang,1,109,100047.4499,-576369.7962,1323.367652,11,230.6522931
wujiaochang,Wujiaochang,1,110,100232.2897,-576320.1316,1302.994151,12,417.8118709
wujiaochang,Wujiaochang,1,111,100132.7659,-576267.8599,1316.539177,12,321.1230223
wujiaochang,Wujiaochang,1,112,100214.2779,-576213.337,1298.126302,14,405.3435496
wujiaochang,Wujiaochang,1,113,100220.9636,-576160.359,1295.630542,14,414.7583217
wujiaochang,Wujiaochang,1,114,100253.0009,-576109.0887,1294.225563,12,449.4025617
wujiaochang,Wujiaochang,1,115,100201.9067,-576057.0248,1291.215089,13,401.0675088
wujiaochang,Wujiaochang,1,116,100247.4105,-576001.3806,1288.524669,12,449.3862802
wujiaochang,Wujiaochang,1,117,100102.5805,-575949.3891,1299.024086,12,307.4381933
wujiaochang,Wujiaochang,1,118,100206.0085,-575897.1383,1293.492859,11,413.4269582
wujiaochang,Wujiaochang,1,119,100189.7275,-575848.4713,1298.478338,11,399.6834516
wujiaochang,Wujiaochang,1,120,100242.4952,-575796.4,1296.517665,12,455.0715835
wujiaochang,Wujiaochang,1,121,100201.5757,-575740.1647,1299.356623,14,417.1135316
wujiaochang,Wujiaochang,1,122,100244.8754,-575684.1196,1297.637299,15,463.2514037
wujiaochang,Wujiaochang,1,123,100200.2517,-575625.4379,1307.664502,14,421.7200933
wujiaochang,Wujiaochang,1,124,100149.9255,-575566.3437,1318.822777,13,374.5160235
wujiaochang,Wujiaochang,1,125,100272.1399,-575505.9801,1305.705326,13,499.6866417
wujiaochang,Wujiaochang,1,126,99953.38727,-575447.7922,1355.67001,10,184.3667309
wujiaochang,Wujiaochang,1,127,100115.6388,-575392.588,1353.571325,10,349.2543007
wujiaochang,Wujiaochang,1,128,100112.3498,-575343.2706,1357.168202,10,348.5183873
wujiaochang,Wujiaochang,1,129,99628.63876,-575283.7955,1468.198004,8,131.4726038
wujiaochang,Wujiaochang,1,130,99622.12255,-575220.3922,1463.736164,8,134.7033239
wujiaochang,Wujiaochang,1,131,99616.90303,-575164.0779,1460.790547,7,137.005684
wujiaochang,Wujiaochang,1,132,99695.93596,-575107.6533,1468.231844,9,55.16489223
wujiaochang,Wujiaochang,1,133,99609.52946,-575051.8499,1456.550914,7,138.5709848
wujiaochang,Wujiaochang,1,134,99596.12461,-574987.1398,1444.311541,7,148.6114844
wujiaochang,Wujiaochang,1,135,99333.98915,-574935.3559,1418.791519,4,407.7208591
wujiaochang,Wujiaochang,1,136,99326.44719,-574882.9824,1413.675582,4,412.5454237
wujiaochang,Wujiaochang,1,137,99318.17186,-574830.2008,1405.221448,4,418.0827027
wujiaochang,Wujiaochang,1,138,99308.33839,-574774.7631,1392.94419,4,425.038177
wujiaochang,Wujiaochang,1,139,99298.30867,-574721.2747,1380.569101,4,432.2900117
