site,scope,segment,feature_type,target,feature,mean_abs_shap,rank
nanjingdonglu,segment2,2.0,individual,deviation,fence.middle,6.2788932122427115,7
nanjingdonglu,segment2,2.0,individual,deviation,ceiling.middle,5.260537664893679,8
nanjingdonglu,segment2,2.0,individual,deviation,person.far,5.1115328609654815,9
nanjingdonglu,segment2,2.0,individual,deviation,person.middle,5.075343006671343,10
nanjingdonglu,segment2,2.0,individual,deviation,fence.far,4.526344796358417,11
nanjingdonglu,segment2,2.0,individual,deviation,signboard.near,0.8740132189775592,12
nanjingdonglu,segment2,2.0,comprehensive,velocity,clutter_near_degree,83.88546013796449,1
nanjingdonglu,segment2,2.0,comprehensive,velocity,clutter_middle_degree,50.98950936351871,2
nanjingdonglu,segment2,2.0,comprehensive,velocity,obstacle_middle_density,45.276168865725076,3
nanjingdonglu,segment2,2.0,comprehensive,velocity,clutter_far_degree,19.587499664527606,4
nanjingdonglu,segment2,2.0,comprehensive,velocity,obstacle_far_density,17.57368912755799,5
nanjingdonglu,segment2,2.0,comprehensive,velocity,far_ratio,16.3506209501673,6
nanjingdonglu,segment2,2.0,comprehensive,velocity,obstacle_near_density,9.893274706560893,7
nanjingdonglu,segment2,2.0,comprehensive,velocity,near_ratio,9.553642814137572,8
nanjingdonglu,segment2,2.0,comprehensive,velocity,middle_ratio,7.692865009493609,9
nanjingdonglu,segment2,2.0,comprehensive,velocity,visibility_near_ratio,0.0,10
nanjingdonglu,segment2,2.0,comprehensive,velocity,visibility_middle_ratio,0.0,11
nanjingdonglu,segment2,2.0,comprehensive,velocity,visibility_far_ratio,0.0,12
nanjingdonglu,segment2,2.0,comprehensive,deviation,clutter_middle_degree,29.191762284018022,1
nanjingdonglu,segment2,2.0,comprehensive,deviation,obstacle_far_density,18.554019277459318,2
nanjingdonglu,segment2,2.0,comprehensive,deviation,obstacle_middle_density,13.224315908342001,3
nanjingdonglu,segment2,2.0,comprehensive,deviation,clutter_near_degree,10.937136300514117,4
nanjingdonglu,segment2,2.0,comprehensive,deviation,obstacle_near_density,9.08242884513257,5
nanjingdonglu,segment2,2.0,comprehensive,deviation,clutter_far_degree,8.623183637393517,6
nanjingdonglu,segment2,2.0,comprehensive,deviation,near_ratio,6.104926616874609,7
nanjingdonglu,segment2,2.0,comprehensive,deviation,far_ratio,5.129062099929319,8
nanjingdonglu,segment2,2.0,comprehensive,deviation,middle_ratio,4.48726893226615,9
nanjingdonglu,segment2,2.0,comprehensive,deviation,visibility_near_ratio,0.0,10
nanjingdonglu,segment2,2.0,comprehensive,deviation,visibility_middle_ratio,0.0,11
nanjingdonglu,segment2,2.0,comprehensive,deviation,visibility_far_ratio,0.0,12
nanjingdonglu,segment3,3.0,individual,velocity,ceiling.middle,42.69031360887412,1
nanjingdonglu,segment3,3.0,individual,velocity,lamp.far,32.753510140724885,2
nanjingdonglu,segment3,3.0,individual,velocity,ceiling.far,20.17466644173542,3
nanjingdonglu,segment3,3.0,individual,velocity,person.middle,18.10839500954033,4
nanjingdonglu,segment3,3.0,individual,velocity,ceiling.near,12.859797817704896,5
nanjingdonglu,segment3,3.0,individual,velocity,light.middle,12.279901350255248,6
nanjingdonglu,segment3,3.0,individual,velocity,lamp.near,10.934407171487257,7
nanjingdonglu,segment3,3.0,individual,velocity,wall.near,10.605124908215483,8
nanjingdonglu,segment3,3.0,individual,velocity,wall.far,5.584411540927043,9
nanjingdonglu,segment3,3.0,individual,velocity,lamp.middle,5.312688818003202,10
nanjingdonglu,segment3,3.0,individual,velocity,signboard.far,4.375664582601581,11
nanjingdonglu,segment3,3.0,individual,velocity,floor.near,4.3115933684894685,12
nanjingdonglu,segment3,3.0,individual,deviation,person.far,18.13101222209395,1
nanjingdonglu,segment3,3.0,individual,deviation,ceiling.near,15.778826704712436,2
nanjingdonglu,segment3,3.0,individual,deviation,light.middle,12.704187650978447,3
nanjingdonglu,segment3,3.0,individual,deviation,lamp.near,12.62710946035482,4
nanjingdonglu,segment3,3.0,individual,deviation,person.middle,11.469767979034565,5
nanjingdonglu,segment3,3.0,individual,deviation,ceiling.far,11.147702770889731,6
nanjingdonglu,segment3,3.0,individual,deviation,signboard.far,11.108417311836883,7
nanjingdonglu,segment3,3.0,individual,deviation,floor.near,8.535635269765692,8
nanjingdonglu,segment3,3.0,individual,deviation,wall.far,7.3867998717697585,9
nanjingdonglu,segment3,3.0,individual,deviation,lamp.middle,7.0884637534769555,10
nanjingdonglu,segment3,3.0,individual,deviation,floor.far,7.040457280314417,11
nanjingdonglu,segment3,3.0,individual,deviation,ceiling.middle,4.82845778776051,12
nanjingdonglu,segment3,3.0,comprehensive,velocity,clutter_middle_degree,49.04895519134802,1
nanjingdonglu,segment3,3.0,comprehensive,velocity,obstacle_middle_density,35.001440998771876,2
nanjingdonglu,segment3,3.0,comprehensive,velocity,clutter_far_degree,29.066997831141585,3
nanjingdonglu,segment3,3.0,comprehensive,velocity,clutter_near_degree,24.67201491771451,4
nanjingdonglu,segment3,3.0,comprehensive,velocity,obstacle_far_density,9.611108516364801,5
nanjingdonglu,segment3,3.0,comprehensive,velocity,middle_ratio,9.595407416952652,6
nanjingdonglu,segment3,3.0,comprehensive,velocity,near_ratio,9.355920880802099,7
nanjingdonglu,segment3,3.0,comprehensive,velocity,far_ratio,7.0467846558286995,8
nanjingdonglu,segment3,3.0,comprehensive,velocity,obstacle_near_density,2.4897234628955975,9
nanjingdonglu,segment3,3.0,comprehensive,velocity,visibility_near_ratio,0.9354944516887738,10
nanjingdonglu,segment3,3.0,comprehensive,velocity,visibility_middle_ratio,0.7890710943066317,11
nanjingdonglu,segment3,3.0,comprehensive,velocity,visibility_far_ratio,0.0,12
nanjingdonglu,segment3,3.0,comprehensive,deviation,near_ratio,19.081782563292364,1
nanjingdonglu,segment3,3.0,comprehensive,deviation,clutter_middle_degree,12.627324579458554,2
nanjingdonglu,segment3,3.0,comprehensive,deviation,clutter_far_degree,11.84141295410955,3
nanjingdonglu,segment3,3.0,comprehensive,deviation,clutter_near_degree,10.575169402176517,4
nanjingdonglu,segment3,3.0,comprehensive,deviation,obstacle_far_density,9.288313965710282,5
nanjingdonglu,segment3,3.0,comprehensive,deviation,middle_ratio,8.734699066721491,6
nanjingdonglu,segment3,3.0,comprehensive,deviation,far_ratio,4.2397420612435734,7
nanjingdonglu,segment3,3.0,comprehensive,deviation,obstacle_middle_density,2.326867931499857,8
nanjingdonglu,segment3,3.0,comprehensive,deviation,obstacle_near_density,1.303451443916463,9
nanjingdonglu,segment3,3.0,comprehensive,deviation,visibility_middle_ratio,0.11093431116183022,10
nanjingdonglu,segment3,3.0,comprehensive,deviation,visibility_near_ratio,0.07360158963570443,11
nanjingdonglu,segment3,3.0,comprehensive,deviation,visibility_far_ratio,0.0,12
nanjingdonglu,segment4,4.0,individual,velocity,person.far,18.461698498755286,1
nanjingdonglu,segment4,4.0,individual,velocity,wall.near,17.80037789951484,2
nanjingdonglu,segment4,4.0,individual,velocity,floor.middle,9.082936371008557,3
nanjingdonglu,segment4,4.0,individual,velocity,person.near,8.837623059943224,4
nanjingdonglu,segment4,4.0,individual,velocity,floor.near,8.462260530003634,5
nanjingdonglu,segment4,4.0,individual,velocity,ceiling.middle,7.672100313924188,6
nanjingdonglu,segment4,4.0,individual,velocity,ceiling.near,5.917647510904522,7
nanjingdonglu,segment4,4.0,individual,velocity,wall.far,4.934170385641631,8
nanjingdonglu,segment4,4.0,individual,velocity,floor.far,4.501293326099085,9
nanjingdonglu,segment4,4.0,individual,velocity,person.middle,4.263328873695539,10
nanjingdonglu,segment4,4.0,individual,velocity,wall.middle,4.046958458879383,11
nanjingdonglu,segment4,4.0,individual,velocity,ceiling.far,2.4769432568679104,12
nanjingdonglu,segment4,4.0,individual,deviation,floor.near,33.204707282290634,1
