site,scope,feature_type,target,rank_in_selected_set,feature
wujiaochang,segment2,comprehensive,velocity,4,obstacle_near_density
wujiaochang,segment2,comprehensive,velocity,5,obstacle_middle_density
wujiaochang,segment2,comprehensive,velocity,6,obstacle_far_density
wujiaochang,segment2,comprehensive,velocity,7,visibility_near_ratio
wujiaochang,segment2,comprehensive,velocity,8,visibility_middle_ratio
wujiaochang,segment2,comprehensive,velocity,9,visibility_far_ratio
wujiaochang,segment2,comprehensive,velocity,10,clutter_near_degree
wujiaochang,segment2,comprehensive,velocity,11,clutter_middle_degree
wujiaochang,segment2,comprehensive,velocity,12,clutter_far_degree
wujiaochang,segment2,comprehensive,deviation,1,near_ratio
wujiaochang,segment2,comprehensive,deviation,2,middle_ratio
wujiaochang,segment2,comprehensive,deviation,3,far_ratio
wujiaochang,segment2,comprehensive,deviation,4,obstacle_near_density
wujiaochang,segment2,comprehensive,deviation,5,obstacle_middle_density
wujiaochang,segment2,comprehensive,deviation,6,obstacle_far_density
wujiaochang,segment2,comprehensive,deviation,7,visibility_near_ratio
wujiaochang,segment2,comprehensive,deviation,8,visibility_middle_ratio
wujiaochang,segment2,comprehensive,deviation,9,visibility_far_ratio
wujiaochang,segment2,comprehensive,deviation,10,clutter_near_degree
wujiaochang,segment2,comprehensive,deviation,11,clutter_middle_degree
wujiaochang,segment2,comprehensive,deviation,12,clutter_far_degree
wujiaochang,segment3,individual,velocity,1,wall.far
wujiaochang,segment3,individual,velocity,2,wall.middle
wujiaochang,segment3,individual,velocity,3,light.near
wujiaochang,segment3,individual,velocity,4,painting.middle
wujiaochang,segment3,individual,velocity,5,floor.near
wujiaochang,segment3,individual,velocity,6,person.far
wujiaochang,segment3,individual,velocity,7,ceiling.middle
wujiaochang,segment3,individual,velocity,8,person.near
wujiaochang,segment3,individual,velocity,9,windowpane.near
wujiaochang,segment3,individual,velocity,10,windowpane.far
wujiaochang,segment3,individual,velocity,11,person.middle
wujiaochang,segment3,individual,velocity,12,ceiling.near
wujiaochang,segment3,individual,deviation,1,person.far
wujiaochang,segment3,individual,deviation,2,floor.middle
wujiaochang,segment3,individual,deviation,3,ceiling.middle
wujiaochang,segment3,individual,deviation,4,floor.far
wujiaochang,segment3,individual,deviation,5,wall.far
wujiaochang,segment3,individual,deviation,6,wall.middle
wujiaochang,segment3,individual,deviation,7,light.middle
wujiaochang,segment3,individual,deviation,8,light.near
wujiaochang,segment3,individual,deviation,9,person.middle
wujiaochang,segment3,individual,deviation,10,poster.middle
wujiaochang,segment3,individual,deviation,11,painting.far
wujiaochang,segment3,individual,deviation,12,ceiling.near
wujiaochang,segment3,comprehensive,velocity,1,near_ratio
wujiaochang,segment3,comprehensive,velocity,2,middle_ratio
wujiaochang,segment3,comprehensive,velocity,3,far_ratio
wujiaochang,segment3,comprehensive,velocity,4,obstacle_near_density
wujiaochang,segment3,comprehensive,velocity,5,obstacle_middle_density
wujiaochang,segment3,comprehensive,velocity,6,obstacle_far_density
wujiaochang,segment3,comprehensive,velocity,7,visibility_near_ratio
wujiaochang,segment3,comprehensive,velocity,8,visibility_middle_ratio
wujiaochang,segment3,comprehensive,velocity,9,visibility_far_ratio
wujiaochang,segment3,comprehensive,velocity,10,clutter_near_degree
wujiaochang,segment3,comprehensive,velocity,11,clutter_middle_degree
wujiaochang,segment3,comprehensive,velocity,12,clutter_far_degree
wujiaochang,segment3,comprehensive,deviation,1,near_ratio
wujiaochang,segment3,comprehensive,deviation,2,middle_ratio
wujiaochang,segment3,comprehensive,deviation,3,far_ratio
wujiaochang,segment3,comprehensive,deviation,4,obstacle_near_density
wujiaochang,segment3,comprehensive,deviation,5,obstacle_middle_density
wujiaochang,segment3,comprehensive,deviation,6,obstacle_far_density
wujiaochang,segment3,comprehensive,deviation,7,visibility_near_ratio
wujiaochang,segment3,comprehensive,deviation,8,visibility_middle_ratio
wujiaochang,segment3,comprehensive,deviation,9,visibility_far_ratio
wujiaochang,segment3,comprehensive,deviation,10,clutter_near_degree
wujiaochang,segment3,comprehensive,deviation,11,clutter_middle_degree
wujiaochang,segment3,comprehensive,deviation,12,clutter_far_degree
wujiaochang,segment4,individual,velocity,1,person.middle
wujiaochang,segment4,individual,velocity,2,floor.far
wujiaochang,segment4,individual,velocity,3,person.near
wujiaochang,segment4,individual,velocity,4,light.far
wujiaochang,segment4,individual,velocity,5,floor.middle
wujiaochang,segment4,individual,velocity,6,light.middle
wujiaochang,segment4,individual,velocity,7,wall.middle
wujiaochang,segment4,individual,velocity,8,floor.near
wujiaochang,segment4,individual,velocity,9,ceiling.far
wujiaochang,segment4,individual,velocity,10,person.far
wujiaochang,segment4,individual,velocity,11,wall.far
wujiaochang,segment4,individual,velocity,12,fence.far
wujiaochang,segment4,individual,deviation,1,person.middle
wujiaochang,segment4,individual,deviation,2,ceiling.near
wujiaochang,segment4,individual,deviation,3,painting.middle
wujiaochang,segment4,individual,deviation,4,light.near
wujiaochang,segment4,individual,deviation,5,person.far
wujiaochang,segment4,individual,deviation,6,light.far
wujiaochang,segment4,individual,deviation,7,floor.near
wujiaochang,segment4,individual,deviation,8,floor.far
wujiaochang,segment4,individual,deviation,9,light.middle
wujiaochang,segment4,individual,deviation,10,column.middle
wujiaochang,segment4,individual,deviation,11,fence.far
wujiaochang,segment4,individual,deviation,12,column.near
wujiaochang,segment4,comprehensive,velocity,1,near_ratio
wujiaochang,segment4,comprehensive,velocity,2,middle_ratio
wujiaochang,segment4,comprehensive,velocity,3,far_ratio
wujiaochang,segment4,comprehensive,velocity,4,obstacle_near_density
wujiaochang,segment4,comprehensive,velocity,5,obstacle_middle_density
wujiaochang,segment4,comprehensive,velocity,6,obstacle_far_density
wujiaochang,segment4,comprehensive,velocity,7,visibility_near_ratio
wujiaochang,segment4,comprehensive,velocity,8,visibility_middle_ratio
wujiaochang,segment4,comprehensive,velocity,9,visibility_far_ratio
wujiaochang,segment4,comprehensive,velocity,10,clutter_near_degree
wujiaochang,segment4,comprehensive,velocity,11,clutter_middle_degree
wujiaochang,segment4,comprehensive,velocity,12,clutter_far_degree
wujiaochang,segment4,comprehensive,deviation,1,near_ratio
wujiaochang,segment4,comprehensive,deviation,2,middle_ratio
wujiaochang,segment4,comprehensive,deviation,3,far_ratio
wujiaochang,segment4,comprehensive,deviation,4,obstacle_near_density
wujiaochang,segment4,comprehensive,deviation,5,obstacle_middle_density
wujiaochang,segment4,comprehensive,deviation,6,obstacle_far_density
wujiaochang,segment4,comprehensive,deviation,7,visibility_near_ratio
wujiaochang,segment4,comprehensive,deviation,8,visibility_middle_ratio
wujiaochang,segment4,comprehensive,deviation,9,visibility_far_ratio
wujiaochang,segment4,comprehensive,deviation,10,clutter_near_degree
wujiaochang,segment4,comprehensive,deviation,11,clutter_middle_degree
wujiaochang,segment4,comprehensive,deviation,12,clutter_far_degree
wujiaochang,segment5,individual,velocity,1,wall.near
wujiaochang,segment5,individual,velocity,2,floor.near
wujiaochang,segment5,individual,velocity,3,floor.far
wujiaochang,segment5,individual,velocity,4,person.far
wujiaochang,segment5,individual,velocity,5,wall.far
wujiaochang,segment5,individual,velocity,6,light.far
wujiaochang,segment5,individual,velocity,7,ceiling.near
wujiaochang,segment5,individual,velocity,8,stairs.middle
wujiaochang,segment5,individual,velocity,9,wall.middle
wujiaochang,segment5,individual,velocity,10,floor.middle
wujiaochang,segment5,individual,velocity,11,ceiling.far
wujiaochang,segment5,individual,velocity,12,light.middle
wujiaochang,segment5,individual,deviation,1,ceiling.middle
wujiaochang,segment5,individual,deviation,2,light.near
wujiaochang,segment5,individual,deviation,3,stairs.middle
wujiaochang,segment5,individual,deviation,4,wall.middle
wujiaochang,segment5,individual,deviation,5,ceiling.far
wujiaochang,segment5,individual,deviation,6,floor.near
wujiaochang,segment5,individual,deviation,7,wall.near
wujiaochang,segment5,individual,deviation,8,wall.far
wujiaochang,segment5,individual,deviation,9,light.far
wujiaochang,segment5,individual,deviation,10,floor.middle
wujiaochang,segment5,individual,deviation,11,person.middle
wujiaochang,segment5,individual,deviation,12,column.near
wujiaochang,segment5,comprehensive,velocity,1,near_ratio
wujiaochang,segment5,comprehensive,velocity,2,middle_ratio
wujiaochang,segment5,comprehensive,velocity,3,far_ratio
wujiaochang,segment5,comprehensive,velocity,4,obstacle_near_density
wujiaochang,segment5,comprehensive,velocity,5,obstacle_middle_density
wujiaochang,segment5,comprehensive,velocity,6,obstacle_far_density
wujiaochang,segment5,comprehensive,velocity,7,visibility_near_ratio
wujiaochang,segment5,comprehensive,velocity,8,visibility_middle_ratio
wujiaochang,segment5,comprehensive,velocity,9,visibility_far_ratio
wujiaochang,segment5,comprehensive,velocity,10,clutter_near_degree
wujiaochang,segment5,comprehensive,velocity,11,clutter_middle_degree
wujiaochang,segment5,comprehensive,velocity,12,clutter_far_degree
wujiaochang,segment5,comprehensive,deviation,1,near_ratio
wujiaochang,segment5,comprehensive,deviation,2,middle_ratio
wujiaochang,segment5,comprehensive,deviation,3,far_ratio
wujiaochang,segment5,comprehensive,deviation,4,obstacle_near_density
wujiaochang,segment5,comprehensive,deviation,5,obstacle_middle_density
wujiaochang,segment5,comprehensive,deviation,6,obstacle_far_density
wujiaochang,segment5,comprehensive,deviation,7,visibility_near_ratio
wujiaochang,segment5,comprehensive,deviation,8,visibility_middle_ratio
wujiaochang,segment5,comprehensive,deviation,9,visibility_far_ratio
wujiaochang,segment5,comprehensive,deviation,10,clutter_near_degree
wujiaochang,segment5,comprehensive,deviation,11,clutter_middle_degree
wujiaochang,segment5,comprehensive,deviation,12,clutter_far_degree
wujiaochang,total,individual,velocity,1,person.far
wujiaochang,total,individual,velocity,2,light.middle
wujiaochang,total,individual,velocity,3,person.middle
wujiaochang,total,individual,velocity,4,wall.far
wujiaochang,total,individual,velocity,5,person.near
wujiaochang,total,individual,velocity,6,light.near
wujiaochang,total,individual,velocity,7,wall.near
wujiaochang,total,individual,velocity,8,ceiling.far
wujiaochang,total,individual,velocity,9,wall.middle
wujiaochang,total,individual,velocity,10,light.far
wujiaochang,total,individual,velocity,11,painting.middle
wujiaochang,total,individual,velocity,12,floor.middle
wujiaochang,total,individual,deviation,1,floor.far
wujiaochang,total,individual,deviation,2,ceiling.middle
wujiaochang,total,individual,deviation,3,person.middle
wujiaochang,total,individual,deviation,4,light.far
wujiaochang,total,individual,deviation,5,ceiling.near
wujiaochang,total,individual,deviation,6,poster.middle
wujiaochang,total,individual,deviation,7,ceiling.far
wujiaochang,total,individual,deviation,8,person.far
wujiaochang,total,individual,deviation,9,light.near
wujiaochang,total,individual,deviation,10,windowpane.middle
wujiaochang,total,individual,deviation,11,wall.near
wujiaochang,total,individual,deviation,12,wall.far
wujiaochang,total,comprehensive,velocity,1,near_ratio
wujiaochang,total,comprehensive,velocity,2,middle_ratio
wujiaochang,total,comprehensive,velocity,3,far_ratio
wujiaochang,total,comprehensive,velocity,4,obstacle_near_density
wujiaochang,total,comprehensive,velocity,5,obstacle_middle_density
wujiaochang,total,comprehensive,velocity,6,obstacle_far_density
wujiaochang,total,comprehensive,velocity,7,visibility_near_ratio
wujiaochang,total,comprehensive,velocity,8,visibility_middle_ratio
wujiaochang,total,comprehensive,velocity,9,visibility_far_ratio
wujiaochang,total,comprehensive,velocity,10,clutter_near_degree
wujiaochang,total,comprehensive,velocity,11,clutter_middle_degree
wujiaochang,total,comprehensive,velocity,12,clutter_far_degree
wujiaochang,total,comprehensive,deviation,1,near_ratio
wujiaochang,total,comprehensive,deviation,2,middle_ratio
wujiaochang,total,comprehensive,deviation,3,far_ratio
wujiaochang,total,comprehensive,deviation,4,obstacle_near_density
wujiaochang,total,comprehensive,deviation,5,obstacle_middle_density
wujiaochang,total,comprehensive,deviation,6,obstacle_far_density
wujiaochang,total,comprehensive,deviation,7,visibility_near_ratio
wujiaochang,total,comprehensive,deviation,8,visibility_middle_ratio
wujiaochang,total,comprehensive,deviation,9,visibility_far_ratio
wujiaochang,total,comprehensive,deviation,10,clutter_near_degree
wujiaochang,total,comprehensive,deviation,11,clutter_middle_degree
wujiaochang,total,comprehensive,deviation,12,clutter_far_degree
