site,scope,feature_type,target,rank_in_selected_set,feature
nanjingdonglu,segment2,comprehensive,deviation,8,visibility_middle_ratio
nanjingdonglu,segment2,comprehensive,deviation,9,visibility_far_ratio
nanjingdonglu,segment2,comprehensive,deviation,10,clutter_near_degree
nanjingdonglu,segment2,comprehensive,deviation,11,clutter_middle_degree
nanjingdonglu,segment2,comprehensive,deviation,12,clutter_far_degree
nanjingdonglu,segment3,individual,velocity,1,ceiling.middle
nanjingdonglu,segment3,individual,velocity,2,light.middle
nanjingdonglu,segment3,individual,velocity,3,lamp.middle
nanjingdonglu,segment3,individual,velocity,4,wall.far
nanjingdonglu,segment3,individual,velocity,5,ceiling.near
nanjingdonglu,segment3,individual,velocity,6,lamp.near
nanjingdonglu,segment3,individual,velocity,7,person.middle
nanjingdonglu,segment3,individual,velocity,8,signboard.far
nanjingdonglu,segment3,individual,velocity,9,ceiling.far
nanjingdonglu,segment3,individual,velocity,10,wall.near
nanjingdonglu,segment3,individual,velocity,11,lamp.far
nanjingdonglu,segment3,individual,velocity,12,floor.near
nanjingdonglu,segment3,individual,deviation,1,lamp.near
nanjingdonglu,segment3,individual,deviation,2,floor.near
nanjingdonglu,segment3,individual,deviation,3,wall.far
nanjingdonglu,segment3,individual,deviation,4,floor.far
nanjingdonglu,segment3,individual,deviation,5,ceiling.near
nanjingdonglu,segment3,individual,deviation,6,ceiling.middle
nanjingdonglu,segment3,individual,deviation,7,person.far
nanjingdonglu,segment3,individual,deviation,8,light.middle
nanjingdonglu,segment3,individual,deviation,9,person.middle
nanjingdonglu,segment3,individual,deviation,10,ceiling.far
nanjingdonglu,segment3,individual,deviation,11,lamp.middle
nanjingdonglu,segment3,individual,deviation,12,signboard.far
nanjingdonglu,segment3,comprehensive,velocity,1,near_ratio
nanjingdonglu,segment3,comprehensive,velocity,2,middle_ratio
nanjingdonglu,segment3,comprehensive,velocity,3,far_ratio
nanjingdonglu,segment3,comprehensive,velocity,4,obstacle_near_density
nanjingdonglu,segment3,comprehensive,velocity,5,obstacle_middle_density
nanjingdonglu,segment3,comprehensive,velocity,6,obstacle_far_density
nanjingdonglu,segment3,comprehensive,velocity,7,visibility_near_ratio
