feature,mean_abs_shap,rank
wall.near,40.18793004301181,1
windowpane.near,29.730726804129457,2
windowpane.middle,26.58149086431408,3
ceiling.far,14.483088347322997,4
wall.middle,11.502107987376595,5
ceiling.near,11.08919671897259,6
wall.far,8.187561962079075,7
person.far,7.713410617783947,8
ceiling.middle,6.589689236588861,9
signboard.far,6.447467872809681,10
floor.middle,5.5201209103939615,11
person.middle,4.782596305933245,12
