feature,mean_abs_shap,rank
floor.far,22.34072468214939,1
floor.middle,18.03902097040003,2
wall.middle,16.846659144405677,3
person.middle,15.584446196672634,4
person.far,14.46484462451388,5
wall.far,14.430829315500354,6
wall.near,8.384532013836466,7
ceiling.far,8.378796490570416,8
ceiling.near,7.243929993210554,9
person.near,5.3683796703166555,10
windowpane.near,4.06219225326651,11
windowpane.middle,3.409470479131554,12
