x,y,velocity,point_count,deviation
108662.3628,-836059.0945,761.948732,4,829.5198013
107531.6859,-836004.0656,1126.248534,2,1961.514073
108977.6403,-835882.4915,757.5762047,5,524.3703431
108963.237,-835745.55,793.4727328,2,546.2391675
109815.8267,-835523.0407,906.0979439,25,292.910463
109500.5449,-835469.0318,882.3091415,21,24.85534329
109561.9295,-835411.2641,893.774089,22,33.28720891
109481.3702,-835375.7408,897.5362564,17,49.10160733
109767.8273,-835317.5073,927.6174038,19,233.7452395
109889.4388,-835248.2289,956.7315113,15,351.3869225
109158.2197,-835189.8899,912.2647774,51,381.9282396
109287.3886,-835138.0811,894.5467784,20,255.7865038
109971.0957,-835089.1936,1053.733469,30,424.2270136
109611.903,-835036.137,888.6714531,12,62.67351112
109836.6854,-834984.9745,967.6719222,15,284.3190938
109764.9266,-834937.0869,909.3584409,12,210.0493735
109736.7447,-834878.4614,906.1090183,19,178.7064888
109828.3685,-834827.6725,839.9468579,17,267.4148203
109600.164,-834776.7621,801.982893,17,36.7800269
109189.2068,-834716.8396,676.6014647,34,376.8514457
109636.794,-834661.178,815.6241882,23,67.02408654
109871.248,-834613.4382,883.7937008,15,298.5174919
109674.6521,-834556.0408,828.163656,20,99.07802241
109552.4334,-834500.1664,773.9777099,12,26.01947727
109991.5985,-834448.3464,916.9042892,19,409.6604956
109590.9739,-834394.9613,887.4494992,13,6.725315194
109207.9443,-834337.7635,708.5703085,35,378.86776
108959.2095,-834302.5708,632.075693,31,629.1549939
109475.413,-834236.4165,804.2800749,21,117.3408984
109503.601,-834192.0071,808.4714044,26,91.62382712
109372.1414,-834139.0479,782.4628661,55,225.7824831
109405.3148,-834079.4915,787.7196379,28,195.9140165
109338.4561,-834029.3672,777.0668115,32,265.4141101
109771.8996,-833973.1198,847.0274057,22,164.3086512
109938.5534,-833920.2858,872.7155945,23,327.8234873
109642.0573,-833863.4244,798.2347069,71,28.67466191
109466.5221,-833808.6248,763.0876303,11,149.6074952
109867.8009,-833763.6539,840.8744912,16,248.6142005
110157.9318,-833707.4915,916.2582459,20,535.23967
109658.3886,-833656.9845,773.5702243,23,33.68154142
109932.0259,-833602.6124,849.3270057,23,303.9370842
109669.2628,-833553.563,774.2018443,13,38.88460948
109143.2124,-833499.0905,769.4148028,16,489.3573403
109926.6255,-833448.8033,811.3840828,15,290.1354154
109799.264,-833392.6878,717.7743437,38,159.8958327
109746.2877,-833350.4447,699.9504944,22,104.6935099
109430.9387,-833296.4865,606.103776,24,213.1389778
109775.5851,-833235.7674,742.7160677,27,127.6756955
108898.867,-833186.3648,677.4581723,20,750.4354923
109908.5381,-833128.1456,794.429346,21,254.5425086
109157.2082,-833073.6995,634.6003698,22,498.6413624
109904.5529,-833021.6845,784.8314111,23,244.742465
109103.6872,-832966.0303,736.3432956,25,557.9683967
110150.6943,-832921.5257,852.7571839,22,485.039937
109378.3562,-832864.5587,658.4113814,26,289.2580293
108525.0252,-832815.5027,734.5656068,56,1143.994843
109300.4328,-832767.976,732.22452,28,372.3455301
109859.0233,-832721.1593,811.9058589,16,182.85059
109784.2576,-832666.1938,794.6720693,18,105.1908728
110040.2281,-832617.101,849.5808238,24,358.0948986
108960.8185,-832556.7273,743.8243181,49,723.0019758
108916.0112,-832507.0455,674.9756126,111,770.4585445
109582.0569,-832468.9177,817.2731141,89,107.4937301
109677.5575,-832414.9901,834.2786519,29,15.10583481
