feature,mean_abs_shap,rank
lamp.middle,81.11115558917439,1
wall.far,38.88212939760089,2
floor.far,35.19397028348259,3
person.middle,29.062704238626605,4
person.near,19.595558007597674,5
ceiling.far,16.01290219134769,6
ceiling.middle,15.940856625699366,7
floor.middle,15.683688370471414,8
ceiling.near,12.67088966870845,9
wall.near,9.871919946598528,10
person.far,7.446935615844203,11
windowpane.middle,4.9686471577742495,12
