feature,mean_abs_shap,rank
railing.far,27.52684423315588,1
wall.far,20.8458434278521,2
floor.near,19.88227106733164,3
floor.far,16.708915511537366,4
person.middle,15.356123615509654,5
ceiling.far,10.375149199277567,6
ceiling.near,8.838007979220528,7
person.near,8.379423163964853,8
column.middle,7.6858034533373605,9
lamp.middle,5.61849617476502,10
column.near,4.5186543366467875,11
lamp.near,1.68653926683753,12
